Date	Total Active(without ICU, ICUV, ICVO)	Total discharged	Total deceased	Total ICU
09+AC0-03+AC0-2020	3	0	0	0
10+AC0-03+AC0-2020	5	0	0	0
11+AC0-03+AC0-2020	5	0	0	0
12+AC0-03+AC0-2020	5	0	0	0
13+AC0-03+AC0-2020	6	0	1	0
14+AC0-03+AC0-2020	6	0	1	0
15+AC0-03+AC0-2020	6	0	1	0
16+AC0-03+AC0-2020	6	0	1	0
17+AC0-03+AC0-2020	10	0	1	0
18+AC0-03+AC0-2020	13	0	1	0
19+AC0-03+AC0-2020	14	0	1	0
20+AC0-03+AC0-2020	13	1	1	0
21+AC0-03+AC0-2020	18	1	1	0
22+AC0-03+AC0-2020	23	1	1	0
23+AC0-03+AC0-2020	31	1	1	0
24+AC0-03+AC0-2020	37	3	1	0
25+AC0-03+AC0-2020	47	3	1	0
26+AC0-03+AC0-2020	50	3	2	0
27+AC0-03+AC0-2020	56	5	3	0
28+AC0-03+AC0-2020	68	5	3	0
29+AC0-03+AC0-2020	75	5	3	0
30+AC0-03+AC0-2020	78	6	3	1
31+AC0-03+AC0-2020	87	9	3	2
01+AC0-04+AC0-2020	93	11	3	3
02+AC0-04+AC0-2020	107	11	3	3
03+AC0-04+AC0-2020	111	11	3	3
04+AC0-04+AC0-2020	126	11	4	3
05+AC0-04+AC0-2020	132	12	4	3
06+AC0-04+AC0-2020	136	20	4	3
07+AC0-04+AC0-2020	142	27	4	2
08+AC0-04+AC0-2020	143	31	5	2
09+AC0-04+AC0-2020	157	33	5	2
10+AC0-04+AC0-2020	163	35	5	4
11+AC0-04+AC0-2020	167	39	5	4
12+AC0-04+AC0-2020	169	54	5	4
13+AC0-04+AC0-2020	179	60	5	3
14+AC0-04+AC0-2020	177	71	9	3
15+AC0-04+AC0-2020	186	80	11	2
16+AC0-04+AC0-2020	219	82	13	1
17+AC0-04+AC0-2020	255	88	13	3
18+AC0-04+AC0-2020	263	104	14	3
19+AC0-04+AC0-2020	261	111	16	2
20+AC0-04+AC0-2020	278	112	16	2
21+AC0-04+AC0-2020	267	129	17	5
22+AC0-04+AC0-2020	274	131	17	5
23+AC0-04+AC0-2020	278	145	17	5
24+AC0-04+AC0-2020	299	152	18	5
25+AC0-04+AC0-2020	317	158	18	7
26+AC0-04+AC0-2020	296	182	19	6
27+AC0-04+AC0-2020	294	193	20	5
28+AC0-04+AC0-2020	288	207	21	7
29+AC0-04+AC0-2020	290	216	21	7
30+AC0-04+AC0-2020	305	229	22	9
01+AC0-05+AC0-2020	306	251	23	9
02+AC0-05+AC0-2020	297	271	26	7
03+AC0-05+AC0-2020	292	293	26	3
04+AC0-05+AC0-2020	296	321	28	6
05+AC0-05+AC0-2020	306	331	30	6
06+AC0-05+AC0-2020	303	354	30	6
07+AC0-05+AC0-2020	302	366	31	6
08+AC0-05+AC0-2020	341	376	31	5
09+AC0-05+AC0-2020	371	386	31	6
10+AC0-05+AC0-2020	388	422	32	6
11+AC0-05+AC0-2020	395	426	32	9
12+AC0-05+AC0-2020	449	433	32	11
13+AC0-05+AC0-2020	464	451	34	10
14+AC0-05+AC0-2020	482	460	36	9
15+AC0-05+AC0-2020	528	480	36	11
16+AC0-05+AC0-2020	546	496	36	13
17+AC0-05+AC0-2020	587	509	37	13
18+AC0-05+AC0-2020	666	530	37	12
19+AC0-05+AC0-2020	805	543	40	6
20+AC0-05+AC0-2020	849	556	41	15
21+AC0-05+AC0-2020	983	571	41	9
22+AC0-05+AC0-2020	1085	597	41	19
23+AC0-05+AC0-2020	1294	608	42	13
24+AC0-05+AC0-2020	1374	654	42	17
25+AC0-05+AC0-2020	1414	705	44	17
26+AC0-05+AC0-2020	1471	748	44	18
27+AC0-05+AC0-2020	1574	765	47	14
28+AC0-05+AC0-2020	1637	834	47	13
29+AC0-05+AC0-2020	1822	894	48	15
30+AC0-05+AC0-2020	1859	997	49	15
31+AC0-05+AC0-2020	1935	1218	51	15
01+AC0-06+AC0-2020	2014	1328	52	12
02+AC0-06+AC0-2020	2325	1403	52	14
03+AC0-06+AC0-2020	2478	1514	53	16
04+AC0-06+AC0-2020	2638	1610	57	13
05+AC0-06+AC0-2020	3075	1688	57	13
06+AC0-06+AC0-2020	3173	1968	59	11
07+AC0-06+AC0-2020	3247	2132	61	10
08+AC0-06+AC0-2020	3161	2519	64	14
09+AC0-06+AC0-2020	3236	2605	66	12
10+AC0-06+AC0-2020	3094	2862	69	14
11+AC0-06+AC0-2020	3185	2976	72	10
12+AC0-06+AC0-2020	2976	3440	79	19
13+AC0-06+AC0-2020	3077	3648	81	15
14+AC0-06+AC0-2020	2940	3955	86	16
15+AC0-06+AC0-2020	2931	4135	88	56
16+AC0-06+AC0-2020	2904	4456	95	72
17+AC0-06+AC0-2020	2752	4804	103	72
18+AC0-06+AC0-2020	2770	4983	115	73
19+AC0-06+AC0-2020	2865	5210	125	78
20+AC0-06+AC0-2020	3096	5391	134	74
21+AC0-06+AC0-2020	3314	5618	139	77
22+AC0-06+AC0-2020	3443	5730	144	80
23+AC0-06+AC0-2020	3443	6004	152	120
24+AC0-06+AC0-2020	3687	6151	166	112
25+AC0-06+AC0-2020	3556	6670	172	160
26+AC0-06+AC0-2020	3727	6916	182	178
27+AC0-06+AC0-2020	4244	7287	193	197
28+AC0-06+AC0-2020	5229	7507	209	243
29+AC0-06+AC0-2020	6114	7683	228	268
30+AC0-06+AC0-2020	6802	7918	248	271
01+AC0-07+AC0-2020	7902	8063	255	292
02+AC0-07+AC0-2020	9245	8334	274	161
03+AC0-07+AC0-2020	10407	8805	293	201
04+AC0-07+AC0-2020	11740	9244	335	226
05+AC0-07+AC0-2020	13008	9847	372	243
06+AC0-07+AC0-2020	14106	10527	402	279
07+AC0-07+AC0-2020	15018	11098	417	279
08+AC0-07+AC0-2020	16075	11876	471	452
09+AC0-07+AC0-2020	17325	12833	488	457
10+AC0-07+AC0-2020	18563	13836	545	472
11+AC0-07+AC0-2020	20379	14716	615	504
12+AC0-07+AC0-2020	22214	15409	686	532
13+AC0-07+AC0-2020	24027	16248	759	545
14+AC0-07+AC0-2020	25299	17390	846	540
15+AC0-07+AC0-2020	27256	18466	933	597
16+AC0-07+AC0-2020	30116	19729	1037	539
17+AC0-07+AC0-2020	32637	20757	1152	568
18+AC0-07+AC0-2020	36051	21775	1245	580
19+AC0-07+AC0-2020	38791	23065	1336	579
20+AC0-07+AC0-2020	41636	23795	1408	580
21+AC0-07+AC0-2020	43557	25459	1469	583
22+AC0-07+AC0-2020	46451	27239	1529	618
23+AC0-07+AC0-2020	49291	29310	1626	640
24+AC0-07+AC0-2020	52180	31347	1736	611
25+AC0-07+AC0-2020	54777	33750	1808	611
26+AC0-07+AC0-2020	57785	35838	1890	632
27+AC0-07+AC0-2020	61221	37685	1965	598
28+AC0-07+AC0-2020	63822	40504	2067	612
29+AC0-07+AC0-2020	66809	42901	2159	639
30+AC0-07+AC0-2020	69080	46694	2242	620
31+AC0-07+AC0-2020	71396	49824	2326	609
01+AC0-08+AC0-2020	72617	53648	2424	602
02+AC0-08+AC0-2020	73952	57725	2508	638
03+AC0-08+AC0-2020	73840	62500	2606	629
04+AC0-08+AC0-2020	73212	69272	2716	634
05+AC0-08+AC0-2020	73325	74679	2816	633
06+AC0-08+AC0-2020	74397	80281	2909	671
07+AC0-08+AC0-2020	77008	84232	3010	678
08+AC0-08+AC0-2020	79082	89238	3103	683
09+AC0-08+AC0-2020	80295	93908	3210	678
10+AC0-08+AC0-2020	79227	99126	3324	681
11+AC0-08+AC0-2020	78907	105599	3410	699
12+AC0-08+AC0-2020	79642	112633	3523	701
13+AC0-08+AC0-2020	77610	121242	3626	727
14+AC0-08+AC0-2020	78454	128182	3730	747
15+AC0-08+AC0-2020	80560	134811	3844	716
16+AC0-08+AC0-2020	80820	141491	3968	692
17+AC0-08+AC0-2020	79948	148562	4083	695
18+AC0-08+AC0-2020	79085	156949	4222	697
19+AC0-08+AC0-2020	80393	164150	4348	704
20+AC0-08+AC0-2020	81444	170381	4450	705
21+AC0-08+AC0-2020	82368	176942	4543	698
22+AC0-08+AC0-2020	81950	184568	4636	727
23+AC0-08+AC0-2020	82764	189564	4704	787
24+AC0-08+AC0-2020	80443	197625	4834	768
25+AC0-08+AC0-2020	81659	204439	4982	751
26+AC0-08+AC0-2020	82848	211688	5115	760
27+AC0-08+AC0-2020	84240	219554	5256	747
28+AC0-08+AC0-2020	85593	227018	5392	754
29+AC0-08+AC0-2020	85725	235128	5507	721
30+AC0-08+AC0-2020	87361	242229	5613	730
31+AC0-08+AC0-2020	86488	249467	5726	747
01+AC0-09+AC0-2020	90237	254626	5861	762
02+AC0-09+AC0-2020	93708	260913	5974	751
03+AC0-09+AC0-2020	95363	268035	6078	735
04+AC0-09+AC0-2020	98316	274196	6194	785
05+AC0-09+AC0-2020	98848	283298	6322	769
06+AC0-09+AC0-2020	98491	292873	6417	775
07+AC0-09+AC0-2020	96207	300770	6558	794
08+AC0-09+AC0-2020	96134	308573	6704	784
09+AC0-09+AC0-2020	98694	315433	6832	776
10+AC0-09+AC0-2020	100769	322454	6961	768
11+AC0-09+AC0-2020	97556	334999	7091	770
12+AC0-09+AC0-2020	97020	344556	7185	795
13+AC0-09+AC0-2020	98396	352958	7289	807
14+AC0-09+AC0-2020	97663	361823	7408	800
15+AC0-09+AC0-2020	97742	369229	7505	794
16+AC0-09+AC0-2020	100808	375809	7575	818
17+AC0-09+AC0-2020	102826	383077	7629	805
18+AC0-09+AC0-2020	100315	394026	7808	814
19+AC0-09+AC0-2020	97742	404841	7922	822
20+AC0-09+AC0-2020	97232	413452	8023	811
21+AC0-09+AC0-2020	94526	423377	8145	809
22+AC0-09+AC0-2020	92331	432450	8228	822
23+AC0-09+AC0-2020	93836	437910	8266	816
24+AC0-09+AC0-2020	94722	444658	8331	827
25+AC0-09+AC0-2020	97651	450302	8417	823
26+AC0-09+AC0-2020	100950	455719	8503	832
27+AC0-09+AC0-2020	103889	462241	8582	835
28+AC0-09+AC0-2020	103226	469750	8641	822
29+AC0-09+AC0-2020	106922	476378	8777	815
30+AC0-09+AC0-2020	106795	485268	8864	821
01+AC0-10+AC0-2020	109601	492412	8994	811
02+AC0-10+AC0-2020	111159	499506	9119	827
03+AC0-10+AC0-2020	111942	508495	9219	841
04+AC0-10+AC0-2020	114727	515782	9286	847
05+AC0-10+AC0-2020	114636	522846	9370	841
06+AC0-10+AC0-2020	114303	533074	9461	848
07+AC0-10+AC0-2020	115312	542906	9574	841
08+AC0-10+AC0-2020	116290	552519	9675	853
09+AC0-10+AC0-2020	117978	561610	9789	873
10+AC0-10+AC0-2020	120037	569947	9891	892
11+AC0-10+AC0-2020	119366	580054	9966	904
12+AC0-10+AC0-2020	114848	592084	10036	928
13+AC0-10+AC0-2020	112540	602505	10123	919
14+AC0-10+AC0-2020	113062	611167	10198	925
15+AC0-10+AC0-2020	112599	620008	10283	939
16+AC0-10+AC0-2020	111481	628588	10356	946
17+AC0-10+AC0-2020	109707	637481	10427	940
18+AC0-10+AC0-2020	109264	645825	10478	945
19+AC0-10+AC0-2020	105282	653289	10542	932
20+AC0-10+AC0-2020	103004	662329	10608	941
21+AC0-10+AC0-2020	99493	671618	10696	947
22+AC0-10+AC0-2020	92927	684835	10770	940
23+AC0-10+AC0-2020	88547	693584	10821	936
24+AC0-10+AC0-2020	85814	700737	10873	935
25+AC0-10+AC0-2020	80111	710843	10905	939
26+AC0-10+AC0-2020	74481	719558	10947	942
27+AC0-10+AC0-2020	70386	727298	10991	944
28+AC0-10+AC0-2020	67222	733558	11046	939
29+AC0-10+AC0-2020	63545	741219	11091	935
30+AC0-10+AC0-2020	58564	749740	11140	935
31+AC0-10+AC0-2020	54061	757208	11168	956
1+AC0-11+AC0-2020	49657	765261	11192	935
2+AC0-11+AC0-2020	43874	773595	11221	931
3+AC0-11+AC0-2020	39463	780735	11247	932
4+AC0-11+AC0-2020	34765	788780	11281	928
5+AC0-11+AC0-2020	32179	794503	11312	916
6+AC0-11+AC0-2020	32418	797204	11347	901
7+AC0-11+AC0-2020	32433	799439	11369	887
8+AC0-11+AC0-2020	32794	801799	11391	884
9+AC0-11+AC0-2020	31520	804485	11410	876
10+AC0-11+AC0-2020	30194	808700	11430	869
11+AC0-11+AC0-2020	29919	811581	11453	824
12+AC0-11+AC0-2020	28673	814949	11474	797
13+AC0-11+AC0-2020	27245	818392	11491	781
14+AC0-11+AC0-2020	27192	820590	11508	773
15+AC0-11+AC0-2020	26400	822953	11529	746
16+AC0-11+AC0-2020	25373	825141	11541	730
17+AC0-11+AC0-2020	24630	827241	11557	693
18+AC0-11+AC0-2020	24510	829188	11578	636
19+AC0-11+AC0-2020	25021	830988	11604	598
20+AC0-11+AC0-2020	24213	833169	11621	539
21+AC0-11+AC0-2020	24220	834968	11641	494
22+AC0-11+AC0-2020	24398	836505	11654	470
23+AC0-11+AC0-2020	24270	838150	11678	438
24+AC0-11+AC0-2020	24194	840099	11695	418
25+AC0-11+AC0-2020	24485	841432	11714	405
26+AC0-11+AC0-2020	24907	842499	11726	409
27+AC0-11+AC0-2020	24978	843950	11738	401
28+AC0-11+AC0-2020	24373	846082	11750	384
29+AC0-11+AC0-2020	24129	857612	11765	374
30+AC0-11+AC0-2020	22930	849821	11778	349
01+AC0-12+AC0-2020	23373	850707	11792	336
02+AC0-12+AC0-2020	23832	851690	11808	318
03+AC0-12+AC0-2020	24390	852584	11821	299
04+AC0-12+AC0-2020	24759	853461	11834	287
05+AC0-12+AC0-2020	24681	854861	11846	278
06+AC0-12+AC0-2020	25551	855750	11856	280
07+AC0-12+AC0-2020	24488	857351	11867	279
08+AC0-12+AC0-2020	24740	858370	11880	275
09+AC0-12+AC0-2020	22791	861588	11900	265
10+AC0-12+AC0-2020	18948	866664	11912	258
11+AC0-12+AC0-2020	18340	868471	11928	253
12+AC0-12+AC0-2020	18498	870002	11939	244
13+AC0-12+AC0-2020	17149	872038	11944	260
14+AC0-12+AC0-2020	15811	874202	11954	254
15+AC0-12+AC0-2020	15212	875796	11965	253
16+AC0-12+AC0-2020	15228	877199	11971	248
17+AC0-12+AC0-2020	14976	878696	11981	229
18+AC0-12+AC0-2020	15157	879735	11989	223
19+AC0-12+AC0-2020	14147	881882	12004	223
20+AC0-12+AC0-2020	14278	882944	12009	219
21+AC0-12+AC0-2020	13782	884205	12016	219
22+AC0-12+AC0-2020	13717	885341	12029	216
23+AC0-12+AC0-2020	13519	886547	12038	217
24+AC0-12+AC0-2020	13402	887815	12039	208
25+AC0-12+AC0-2020	13300	888917	12044	208
26+AC0-12+AC0-2020	13189	889881	12051	205
27+AC0-12+AC0-2020	12871	891095	12062	209
28+AC0-12+AC0-2020	12342	892273	12070	205
29+AC0-12+AC0-2020	11655	893617	12074	206
30+AC0-12+AC0-2020	11408	894834	12081	202
31+AC0-12+AC0-2020	11077	896116	12090	194
01+AC0-01+AC0-2021	10869	897200	12096	189
02+AC0-01+AC0-2021	10648	898176	12099	186
03+AC0-01+AC0-2021	10707	898919	12107	186
04+AC0-01+AC0-2021	10011	900202	12110	196
05+AC0-01+AC0-2021	9443	901579	12118	194
06+AC0-01+AC0-2021	8967	902817	12124	210
07+AC0-01+AC0-2021	8914	903629	12131	205
08+AC0-01+AC0-2021	9226	904286	12134	203
09+AC0-01+AC0-2021	9250	905158	12138	202
10+AC0-01+AC0-2021	9447	905751	12140	202
11+AC0-01+AC0-2021	9148	906548	12144	196
12+AC0-01+AC0-2021	8706	907729	12149	203
13+AC0-01+AC0-2021	8694	908494	12152	193
14+AC0-01+AC0-2021	8541	909058	12155	187
15+AC0-01+AC0-2021	8607	909701	12158	183
16+AC0-01+AC0-2021	8513	910377	12162	181
17+AC0-01+AC0-2021	8580	911232	12166	178
18+AC0-01+AC0-2021	7856	912205	12175	177
19+AC0-01+AC0-2021	7693	913012	12181	172
20+AC0-01+AC0-2021	7529	913677	12185	168
21+AC0-01+AC0-2021	7383	914492	12187	171
22+AC0-01+AC0-2021	6820	915382	12190	165
23+AC0-01+AC0-2021	7185	915924	12193	157
24+AC0-01+AC0-2021	7355	916325	12197	155
25+AC0-01+AC0-2021	6694	917261	12200	152
26+AC0-01+AC0-2021	6486	918099	12204	147
27+AC0-01+AC0-2021	6151	918859	12207	147
28+AC0-01+AC0-2021	6052	919503	12209	150
29+AC0-01+AC0-2021	5913	920110	12211	148
30+AC0-01+AC0-2021	5829	920657	12213	147
31+AC0-01+AC0-2021	5884	921122	12217	145
01+AC0-02+AC0-2021	5849	921592	12220	145
02+AC0-02+AC0-2021	5776	922004	12223	148
03+AC0-02+AC0-2021	5769	922437	12225	146
04+AC0-02+AC0-2021	5771	922907	12227	146
05+AC0-02+AC0-2021	5730	923377	12230	144
06+AC0-02+AC0-2021	5824	923811	12233	144
07+AC0-02+AC0-2021	5818	924304	12236	141
08+AC0-02+AC0-2021	5791	924564	12239	143
09+AC0-02+AC0-2021	5642	925167	12241	143
10+AC0-02+AC0-2021	5734	925489	12244	141
11+AC0-02+AC0-2021	5821	925829	12251	137
12+AC0-02+AC0-2021	5788	926234	12259	137
13+AC0-02+AC0-2021	5775	926664	12263	135
14+AC0-02+AC0-2021	5704	927150	12265	132
15+AC0-02+AC0-2021	5644	927580	12267	128
16+AC0-02+AC0-2021	5735	927924	12273	125
17+AC0-02+AC0-2021	5574	928461	12276	124
18+AC0-02+AC0-2021	5667	928767	12282	125
19+AC0-02+AC0-2021	5757	929058	12287	125
20+AC0-02+AC0-2021	5851	929447	12292	127
21+AC0-02+AC0-2021	5909	929800	12294	127
22+AC0-02+AC0-2021	5933	930087	12299	128
23+AC0-02+AC0-2021	5940	930465	12303	122
24+AC0-02+AC0-2021	5955	930778	12309	122
25+AC0-02+AC0-2021	5455	931725	12316	121
26+AC0-02+AC0-2021	5380	932367	12320	121
27+AC0-02+AC0-2021	5517	932747	12326	121
28+AC0-02+AC0-2021	5683	933097	12331	121
01+AC0-03+AC0-2021	5706	933421	12336	118
02+AC0-03+AC0-2021	5829	933730	12343	116
03+AC0-03+AC0-2021	5941	934143	12346	116
04+AC0-03+AC0-2021	6013	934639	12350	115
05+AC0-03+AC0-2021	6262	935066	12354	112
06+AC0-03+AC0-2021	6485	935421	12359	109
07+AC0-03+AC0-2021	6747	935772	12362	115
08+AC0-03+AC0-2021	6699	936250	12367	116
09+AC0-03+AC0-2021	6918	936616	12373	115
10+AC0-03+AC0-2021	7341	936947	12379	115
11+AC0-03+AC0-2021	7721	937353	12381	110
12+AC0-03+AC0-2021	7989	937898	12386	125
13+AC0-03+AC0-2021	7919	938890	12387	123
14+AC0-03+AC0-2021	8239	939499	12390	125
15+AC0-03+AC0-2021	8735	939928	12397	125
16+AC0-03+AC0-2021	9299	940489	12403	129
17+AC0-03+AC0-2021	10086	940968	12407	134
18+AC0-03+AC0-2021	11228	941309	12415	131
19+AC0-03+AC0-2021	11936	942178	12425	131
20+AC0-03+AC0-2021	12694	943208	12432	134
21+AC0-03+AC0-2021	13356	944256	12434	137
22+AC0-03+AC0-2021	14131	944917	12444	136
23+AC0-03+AC0-2021	15459	945594	12449	136
24+AC0-03+AC0-2021	16743	946589	12461	143
25+AC0-03+AC0-2021	18057	947781	12471	150
26+AC0-03+AC0-2021	19379	948988	12484	174
27+AC0-03+AC0-2021	21056	950167	12492	196
28+AC0-03+AC0-2021	22833	951452	12504	204
29+AC0-03+AC0-2021	23622	953416	12520	227
30+AC0-03+AC0-2021	25301	954678	12541	240
31+AC0-03+AC0-2021	28162	956170	12567	266
01+AC0-04+AC0-2021	30600	957769	12585	265
02+AC0-04+AC0-2021	33950	959400	12591	269
03+AC0-04+AC0-2021	36287	961359	12610	327
04+AC0-04+AC0-2021	38761	963419	12625	331
05+AC0-04+AC0-2021	42138	965275	12657	345
06+AC0-04+AC0-2021	44756	968762	12696	351
07+AC0-04+AC0-2021	48901	971556	12731	353
08+AC0-04+AC0-2021	53038	973949	12767	357
09+AC0-04+AC0-2021	57706	977169	12813	378
10+AC0-04+AC0-2021	61248	980519	12849	405
11+AC0-04+AC0-2021	68785	983157	12889	440
12+AC0-04+AC0-2021	75515	985924	12941	470
13+AC0-04+AC0-2021	78143	992003	13008	474
14+AC0-04+AC0-2021	84974	996367	13046	506
15+AC0-04+AC0-2021	96006	999958	13112	555
16+AC0-04+AC0-2021	106738	1003985	13190	577
17+AC0-04+AC0-2021	118571	1009549	13270	589
18+AC0-04+AC0-2021	132923	1014152	13351	620
19+AC0-04+AC0-2021	141363	1021250	13497	721
20+AC0-04+AC0-2021	158407	1025821	13646	751
21+AC0-04+AC0-2021	175284	1032233	13762	904
22+AC0-04+AC0-2021	194993	1037857	13885	1043
23+AC0-04+AC0-2021	213183	1046554	14075	1128
24+AC0-04+AC0-2021	233203	1055612	14283	1280
25+AC0-04+AC0-2021	260670	1062594	14426	1492
26+AC0-04+AC0-2021	279227	1073257	14627	1815
27+AC0-04+AC0-2021	299836	1084050	14807	2063
28+AC0-04+AC0-2021	326692	1095883	15036	2192
29+AC0-04+AC0-2021	347065	1110025	15306	2431
30+AC0-04+AC0-2021	382690	1124909	15523	
01+AC0-05+AC0-2021	405068	1143250	15794	
02+AC0-05+AC0-2021	421436	1164398	16011	
03+AC0-05+AC0-2021	444734	1185299	16250	
04+AC0-05+AC0-2021	464363	1210013	16538	
05+AC0-05+AC0-2021	487288	1236854	16884	
06+AC0-05+AC0-2021	517075	1255797	17212	
07+AC0-05+AC0-2021	536641	1284420	17804	
08+AC0-05+AC0-2021	548841	1319301	18286	
09+AC0-05+AC0-2021	564485	1351097	18776	
10+AC0-05+AC0-2021	571006	1383285	19732	
11+AC0-05+AC0-2021	587452	1405869	19852	
12+AC0-05+AC0-2021	592182	1440145	20368	
13+AC0-05+AC0-2021	593078	1474678	20712	
14+AC0-05+AC0-2021	598605	1510557	21085	
15+AC0-05+AC0-2021	605494	1544982	21434	
16+AC0-05+AC0-2021	600147	1581457	21837	
17+AC0-05+AC0-2021	603639	1616092	22313	
18+AC0-05+AC0-2021	575028	1674487	22838	
19+AC0-05+AC0-2021	558890	1724438	23306	
20+AC0-05+AC0-2021	534954	1776695	23854	
21+AC0-05+AC0-2021	514238	1829276	24207	
22+AC0-05+AC0-2021	483204	1891042	24658	
23+AC0-05+AC0-2021	472986	1926615	25282	
24+AC0-05+AC0-2021	440435	1983948	25811	
25+AC0-05+AC0-2021	424381	2022172	26399	
26+AC0-05+AC0-2021	409924	2062910	26929	
27+AC0-05+AC0-2021	402203	2094369	27405	
28+AC0-05+AC0-2021	372373	2146621	27806	
29+AC0-05+AC0-2021	350066	2189064	28928	
30+AC0-05+AC0-2021	342010	2217117	28679	
31+AC0-05+AC0-2021	313730	2261590	29090	
01+AC0-06+AC0-2021	298299	2290861	29554	
02+AC0-06+AC0-2021	293024	2312060	30017	
03+AC0-06+AC0-2021	286798	2336096	30531	
04+AC0-06+AC0-2021	280186	2358412	30895	
05+AC0-06+AC0-2021	268275	2383758	31260	
06+AC0-06+AC0-2021	254505	2409417	31580	
07+AC0-06+AC0-2021	238824	2436716	31920	
08+AC0-06+AC0-2021	225004	2460165	32099	
09+AC0-06+AC0-2021	215525	2480411	32291	
10+AC0-06+AC0-2021	210652	2496132	32485	
11+AC0-06+AC0-2021	203769	2511105	32644	
12+AC0-06+AC0-2021	191796	2532719	32788	
13+AC0-06+AC0-2021	180835	2551365	32913	
14+AC0-06+AC0-2021	172141	2566774	33033	
15+AC0-06+AC0-2021	162282	2581559	33148	
16+AC0-06+AC0-2021	151566	2599472	33296	
17+AC0-06+AC0-2021	146726	2610157	33434	
18+AC0-06+AC0-2021	137050	2625447	33602	
19+AC0-06+AC0-2021	130872	2637279	33763	
20+AC0-06+AC0-2021	126813	2645735	33883	
21+AC0-06+AC0-2021	123134	2654139	34025	
22+AC0-06+AC0-2021	118592	2662250	34164	
23+AC0-06+AC0-2021	116450	2668705	34287	
24+AC0-06+AC0-2021	110523	2678473	34425	
25+AC0-06+AC0-2021	107195	2684997	34539	
26+AC0-06+AC0-2021	105226	2691123	34654	
27+AC0-06+AC0-2021	101042	2698822	34743	
28+AC0-06+AC0-2021	97592	2704755	34836	
29+AC0-06+AC0-2021	85997	2719479	34929	
30+AC0-06+AC0-2021	76505	2732242	35040	
01+AC0-07+AC0-2021	65312	2746544	35134	
02+AC0-07+AC0-2021	53871	2760881	35222	
03+AC0-07+AC0-2021	48116	2768632	35308	
04+AC0-07+AC0-2021	44846	2773407	35367	
